,player_name,position,games,at_bats,runs,hits,doubles,triples,home_runs,RBI,walks,strikeouts,stolen base ,caught_stealing,AVG,on_base_%,slugging_%,OPS
332,B Surhoff,LF,2313.0,8258.0,1062.0,2326.0,440.0,42.0,188.0,1153.0,640.0,839,141.0,84,0.282,0.332,0.413,0.745
333,A Pierzynski,C,2059.0,7290.0,807.0,2043.0,407.0,24.0,188.0,909.0,308.0,895,15.0,23,0.28,0.319,0.42,0.739
334,B Higginson,LF,1362.0,4910.0,736.0,1336.0,270.0,33.0,187.0,709.0,649.0,796,91.0,53,0.272,0.358,0.455,0.813
335,M Stanley,C,1467.0,4222.0,625.0,1138.0,220.0,7.0,187.0,702.0,652.0,929,13.0,4,0.27,0.37,0.458,0.828
336,M Semien,2B,1184.0,4589.0,686.0,1171.0,240.0,29.0,187.0,568.0,445.0,1001,107.0,34,0.255,0.321,0.442,0.763
337,G Hill,RF,1162.0,3715.0,528.0,1005.0,187.0,21.0,186.0,586.0,270.0,845,96.0,38,0.271,0.321,0.482,0.803
338,R Aurilia,SS,1652.0,5721.0,745.0,1576.0,301.0,22.0,186.0,756.0,450.0,861,23.0,18,0.275,0.328,0.433,0.761
339,M Minoso,LF,1835.0,6579.0,1136.0,1963.0,336.0,83.0,186.0,1023.0,814.0,584,205.0,130,0.298,0.389,0.459,0.848
340,M Moreland,1B,1260.0,4071.0,527.0,1020.0,219.0,9.0,186.0,618.0,385.0,975,11.0,5,0.251,0.318,0.446,0.764
341,A Trammell,SS,2293.0,8288.0,1231.0,2365.0,412.0,55.0,185.0,1003.0,850.0,874,236.0,109,0.285,0.352,0.415,0.767
342,C Chambliss,1B,2175.0,7571.0,912.0,2109.0,392.0,42.0,185.0,972.0,632.0,926,40.0,35,0.279,0.334,0.415,0.749
343,M Young,SS,1970.0,7918.0,1137.0,2375.0,441.0,60.0,185.0,1030.0,575.0,1235,90.0,30,0.3,0.346,0.441,0.787
344,B Jordan,RF,1456.0,5160.0,755.0,1454.0,267.0,37.0,184.0,821.0,353.0,842,119.0,48,0.282,0.333,0.455,0.788
345,C Gehringer,2B,2323.0,8860.0,1775.0,2839.0,574.0,146.0,184.0,1427.0,1186.0,372,181.0,89,0.32,0.404,0.48,0.884
346,B Watson,1B,1831.0,6185.0,802.0,1826.0,307.0,41.0,184.0,989.0,653.0,796,27.0,28,0.295,0.364,0.447,0.811
347,F Lindor,SS,1068.0,4236.0,680.0,1172.0,233.0,23.0,184.0,582.0,406.0,731,125.0,37,0.277,0.342,0.473,0.815
348,H Heilmann,RF,2146.0,7787.0,1291.0,2660.0,542.0,151.0,183.0,1539.0,856.0,550,113.0,64,0.342,0.41,0.52,0.93
349,T Henrich,RF,1284.0,4603.0,901.0,1297.0,269.0,73.0,183.0,795.0,712.0,383,37.0,19,0.282,0.382,0.491,0.873
350,W Davis,CF,2429.0,9174.0,1217.0,2561.0,395.0,138.0,182.0,1053.0,418.0,977,398.0,131,0.279,0.311,0.412,0.723
351,S Balboni,1B,960.0,3120.0,351.0,714.0,127.0,11.0,181.0,495.0,273.0,856,1.0,2,0.229,0.293,0.451,0.744
